class,morph_wer,morph_cer,morph_per,morph_cost
affricate_cs,0.9166666666666667,0.813153677462888,1.4199346405228757,7.121164772727273
affricate_cs_onset,1.0,1.0,2.1,4.05
affricate_dzs,1.0,0.8333333333333334,1.6428571428571428,6.666666666666667
affricates,0.8333333333333334,0.7708333333333334,1.2352941176470589,13.14382575757576
clusters,1.0,0.8177688539530644,1.5,3.6875
final_long_e,1.0,0.9523809523809524,1.4782608695652173,9.408333333333331
front_rounded,1.0,0.8297802013513587,1.5127661633759193,7.797415223665223
front_rounded_long,1.0714285714285714,0.8150849150849151,1.4944444444444442,5.210374149659864
front_rounded_short,1.2222222222222223,0.7888888888888889,1.3425925925925926,5.054682539682539
geminate,7.4,7.78125,4.136363636363637,8.820833333333333
geminate_dd,1.0,0.75,1.5454545454545454,4.37
hiatus,1.0,0.9523809523809524,1.4782608695652173,9.408333333333331
i_vs_long_i,1.0,0.75,1.5454545454545454,4.37
i_vs_long_i_rhyme,1.0,0.7777777777777778,1.7142857142857142,3.2671428571428573
laterals,1.0,0.7619047619047619,1.3529411764705883,7.083749999999999
long_a,1.0,0.7777777777777778,1.7142857142857142,3.2671428571428573
long_i,0.8333333333333334,0.7708333333333334,1.2352941176470589,13.14382575757576
long_o,0.8333333333333334,0.7692307692307693,1.5555555555555556,7.569999999999999
long_u,1.0,0.9285714285714286,1.7777777777777777,3.383333333333333
long_vs_short_vowels,1.0,0.9,1.5,3.455
palatal_gy,1.0,0.8976190476190476,1.7222222222222223,4.630238095238095
palatal_gy_clusters,1.0,0.9285714285714286,1.7777777777777777,3.383333333333333
palatal_ny,4.2,4.279513888888889,2.734848484848485,6.015416666666667
palatal_ty,4.2,4.352163461538462,2.845959595959596,6.34
plosives,0.9166666666666666,0.8056352143077398,1.3131451042771298,8.7958648989899
rhythm,1.0,0.9075136190769864,1.4730823612583954,10.637819865319866
s_vs_sh,1.0,0.5384615384615384,1.0,4.043333333333333
sibilant_clusters,0.8333333333333334,0.7708333333333334,1.2352941176470589,13.14382575757576
sibilants,1.0833333333333335,0.7773081907127959,1.3384661835748792,4.935505952380952
voiced_coda_g,1.0,1.0,2.1,4.05
voicing_assimilation_target,0.6666666666666666,0.5,0.8333333333333334,3.27
vowel_harmony,0.9,0.6739130434782609,1.162162162162162,13.850833333333334
vowel_length,1.245679012345679,1.0731255487826659,1.5610362059145322,6.468326118326119
word_initial,1.0,0.8333333333333334,1.6428571428571428,6.666666666666667
z_vs_zh,1.0,0.6875,1.1666666666666667,6.477142857142858
