class,dp_wer,dp_cer,dp_per,avg_search_cost
affricate_cs,1.0833333333333333,0.6916118421052632,0.9848856209150326,10.672
affricate_cs_onset,1.5,1.2307692307692308,2.1,8.4
affricate_dzs,1.0,0.75,1.2142857142857142,10.76
affricates,1.3333333333333333,0.6875,0.9117647058823528,16.075
clusters,1.0833333333333333,0.8874316473000683,1.451388888888889,6.4805
final_long_e,1.6666666666666667,1.0,1.2173913043478262,15.029
front_rounded,1.1904761904761905,0.7931395646583824,1.2938443670150988,12.662999999999998
front_rounded_long,1.2857142857142858,1.1512154512154513,1.6809523809523808,9.208142857142857
front_rounded_short,1.5,1.2444444444444445,1.9166666666666667,9.068
geminate,1.4,0.71875,1.318181818181818,14.934
geminate_dd,1.0,0.75,1.0,5.04
hiatus,1.6666666666666667,1.0,1.2173913043478262,15.029
i_vs_long_i,1.0,0.75,1.0,5.04
i_vs_long_i_rhyme,1.0,1.0,1.2857142857142858,6.448
laterals,1.0,0.5238095238095238,0.5882352941176471,8.267
long_a,1.0,1.0,1.2857142857142858,6.448
long_i,1.3333333333333333,0.6875,0.9117647058823528,16.075
long_o,1.0,0.7307692307692307,1.0,14.013
long_u,1.3333333333333333,0.8571428571428571,1.5555555555555556,7.358
long_vs_short_vowels,0.6666666666666666,0.9,0.875,8.024000000000001
palatal_gy,1.1666666666666665,0.8952380952380952,1.7361111111111112,9.287999999999998
palatal_gy_clusters,1.3333333333333333,0.8571428571428571,1.5555555555555556,7.358
palatal_ny,1.2,0.859375,1.4924242424242422,11.927
palatal_ty,1.2,0.7439903846153846,1.2146464646464645,9.987
plosives,1.2023809523809523,0.7776113937711996,0.9480646871686109,13.51875
rhythm,1.3809523809523807,0.8284818583615995,1.0974195828914812,16.62666666666667
s_vs_sh,1.0,0.8461538461538461,1.181818181818182,10.52
sibilant_clusters,1.3333333333333333,0.6875,0.9117647058823528,16.075
sibilants,1.125,0.9038005306097411,1.2573287220026352,8.864749999999999
voiced_coda_g,1.5,1.2307692307692308,2.1,8.4
voicing_assimilation_target,0.6666666666666666,0.625,0.5,4.194999999999999
vowel_harmony,1.0,0.6739130434782609,0.918918918918919,24.524000000000004
vowel_length,1.168253968253968,0.8957597130718656,1.3038358878496736,10.871407407407409
word_initial,1.0,0.75,1.2142857142857142,10.76
z_vs_zh,1.0,0.875,1.0,9.16
