class,dp_wer,dp_cer,dp_per,avg_search_cost
affricate_cs,1.0,0.7092400472334683,1.054330065359477,10.460625
affricate_cs_onset,1.0,0.8461538461538461,1.2,7.7715
affricate_dzs,1.0,0.875,1.7142857142857142,10.76
affricates,1.0,0.6041666666666666,0.9117647058823528,15.411
clusters,1.0,0.8874316473000683,1.451388888888889,6.024125
final_long_e,1.3333333333333333,0.8095238095238095,1.0869565217391304,13.6695
front_rounded,1.3988095238095237,1.2031393076946657,1.2416763453348818,11.27475
front_rounded_long,0.9642857142857143,0.8343656343656344,1.2904761904761906,8.676
front_rounded_short,0.9166666666666666,0.7222222222222223,1.3148148148148149,8.334333333333333
geminate,1.4,0.75,1.318181818181818,14.907000000000002
geminate_dd,1.0,0.625,0.6363636363636364,5.04
hiatus,1.3333333333333333,0.8095238095238095,1.0869565217391304,13.6695
i_vs_long_i,1.0,0.625,0.6363636363636364,5.04
i_vs_long_i_rhyme,1.0,1.0,1.5714285714285714,6.424
laterals,1.4,1.0952380952380951,1.8823529411764703,8.253499999999999
long_a,1.0,1.0,1.5714285714285714,6.424
long_i,1.0,0.6041666666666666,0.9117647058823528,15.411
long_o,1.0,0.7307692307692307,1.0555555555555556,13.9865
long_u,1.0,0.8571428571428571,1.7777777777777777,6.4465
long_vs_short_vowels,0.6666666666666666,0.4,0.375,6.687500000000002
palatal_gy,1.0,0.961904761904762,1.8888888888888888,8.82775
palatal_gy_clusters,1.0,0.8571428571428571,1.7777777777777777,6.4465
palatal_ny,1.2,0.7638888888888888,1.159090909090909,11.9135
palatal_ty,1.2,0.8365384615384617,1.3257575757575757,9.896
plosives,1.7648809523809523,1.349902674992291,0.9029648285613292,11.707374999999999
rhythm,1.7976190476190474,1.5290368999897215,0.9261753269706611,14.223999999999998
s_vs_sh,2.0,1.0769230769230769,1.5454545454545454,9.209
sibilant_clusters,1.0,0.6041666666666666,0.9117647058823528,15.411
sibilants,1.125,0.8243133511225615,1.2165815766359245,8.31475
voiced_coda_g,1.0,0.8461538461538461,1.2,7.7715
voicing_assimilation_target,1.6666666666666667,0.8125,0.8333333333333334,4.157500000000001
vowel_harmony,1.0,0.717391304347826,0.972972972972973,24.402
vowel_length,1.146031746031746,0.8976778690404124,1.2180641426978385,10.18062962962963
word_initial,1.0,0.875,1.7142857142857142,10.76
z_vs_zh,1.0,0.875,1.1666666666666667,9.16
