hu_text,en_text_morph,morph_cost,time,hu_hyp_morph,morph_wer,morph_cer,morph_per
Mit sütsz kis szűcs,meet shoot speaking,3.3616666666666664,5.422086474995012,Mégsőt szépen!,1.0,0.7368421052631579,1.25
Sárga bögre görbe bögre,transformed transformed,7.77,11.274526809997042,Transformed transformed.,1.0,0.8695652173913043,1.4
Fekete bikapata kopog a patika pepita kövezetén,textbooks postcards ah postcards contracts,16.06388888888889,15.564302491002309,"textbooks, postcards, a postcards contracts",0.8571428571428571,0.8297872340425532,1.2195121951219512
Két pék két szép kék képet kér,act problems kick keep et co,7.015,8.116855879998184,"Act problems kick keep it, Cole.",1.0,0.8,1.5217391304347827
Jamaika a jamaikaiaké,complex ah complex e act,8.420000000000002,6.405074221998802,Komplexa complexi act.,1.0,0.8095238095238095,1.3043478260869565
A szecsuáni síncsiszoló sínt csiszol Szecsuánban,ah strongly shown myself consists craftsman,12.942857142857143,16.99569363399496,Azt strongly shown myself consists craftsman.,1.0,0.7708333333333334,1.2941176470588236
Jobb egy lúdnyak két tyúknyaknál,your blindness clarkson nail,8.019166666666667,18.114319430998876,Your blindness Clarkson nail.,1.0,0.8125,1.5
Lali a lila ló elalél,controls' presents,7.18625,13.3895639189941,"kontrolls, prezens.",1.0,0.8571428571428571,1.6470588235294117
Nem lehet a Márta másé mert a Márta már Tamásé,m let et ah instincts met ah mutants comment,11.242083333333337,20.034121578995837,Malette et a instinkts met a mutants comment.,0.8,0.6304347826086957,1.0810810810810811
Gyűrűt újra fűz,jumped you ah phase,4.926666666666667,5.207321326997771,Csöpk to a fész!,1.3333333333333333,0.8,1.3333333333333333
Hány nyár,hands,3.21,2.623192996998114,Hands.,1.0,0.7777777777777778,1.3333333333333333
Tyúk és csibe,prescribed,3.681388888888889,3.5833690090003074,PROSKRIBER,1.0,0.7692307692307693,1.2222222222222223
Dzsinn ül a dzsámi előtt,simply springfield,6.241388888888889,5.659525734001363,"természetesen a har riskt,",0.8,0.9166666666666666,2.2142857142857144
Sárban szárad,sh bon squad,2.4166666666666665,11.532820931999595,Sibanc Squad,1.0,0.46153846153846156,0.9090909090909091
Zsákban a zsemle,someone attempt,4.976666666666666,4.132091567000316,Szamon Attent.,1.0,0.6875,1.1666666666666667
Egy nagy kertben,edge not kept ben,2.0999999999999996,13.19916894200287,A nyitott keselléketபடjára feltesszük és megkószuljuk.,2.0,2.9375,3.5833333333333335
Őr űzi az ürgét,years e advanced,6.1657142857142855,6.423409046000003,Jérzi advanced!,1.0,0.8,1.4166666666666667
Két bögre teát kér,act boards test co,5.206666666666667,7.636272910000002,A Pact boards testkól.,1.0,0.7777777777777778,1.2
A kórus a kocsma előtt áll,english ah constraints,7.659999999999999,6.788340922999993,A magyarok különlegesek.,0.8333333333333334,0.8461538461538461,1.5
Szép zöld fű,subjects,3.39,7.498441269999603,Subjects,1.0,0.9166666666666666,1.7777777777777777
Sütőtökből sütit süt,shoot talk bill split shoot,3.620833333333333,5.118956730000036,SÜT TAKT BILSZPLIT SÜT,1.0,0.45,0.7777777777777778
Hidd el itt írok,he split a oak,4.064999999999999,7.563570915000128,He split a hulk.,1.0,0.75,1.1818181818181819
Vár a víz,of ah vows,1.8166666666666667,2.614984858999378,Antarctifa,1.0,1.1111111111111112,1.8571428571428572
Füstöl a fűrész,football ah france,4.256666666666667,4.331728813001973,Football of France.,1.0,0.8666666666666667,1.5833333333333333
Gyúl a Gyertya,girlfriends,3.783333333333333,7.0108232899983705,Göröfréns.,1.0,0.9285714285714286,1.7777777777777777
Ég a lámpa,promptly,3.355,2.628541039997799,Promptly.,1.0,1.0,1.25
Csőből csöpög,transformed,3.7849999999999993,2.9074223120005627,Transzformed.,1.0,1.0,2.1
Kő őrzi őzt,co is e east,4.04,3.2457199079999555,Kóissi East!,1.0,0.8181818181818182,1.4444444444444444
