class,morph_wer,morph_cer,morph_per,avg_search_cost
affricate_cs,0.9583333333333334,0.7807650134952767,1.3165849673202614,6.911478174603175
affricate_cs_onset,1.0,1.0,2.1,3.7849999999999993
affricate_dzs,0.8,0.9166666666666666,2.2142857142857144,6.241388888888889
affricates,1.0,0.7708333333333334,1.2941176470588236,12.942857142857145
clusters,1.0,0.8500655046707679,1.5625,3.64375
final_long_e,1.0,0.8095238095238095,1.3043478260869563,8.420000000000002
front_rounded,0.9984126984126984,0.8217731668569099,1.4361885404568329,7.261712962962964
front_rounded_long,0.9761904761904763,0.8139527139527141,1.5142857142857142,4.702602040816326
front_rounded_short,1.0,0.7222222222222223,1.3240740740740742,4.39218253968254
geminate,1.0,0.8125,1.5,8.019166666666667
geminate_dd,1.0,0.75,1.181818181818182,4.064999999999999
hiatus,1.0,0.8095238095238095,1.3043478260869563,8.420000000000002
i_vs_long_i,1.0,0.75,1.181818181818182,4.064999999999999
i_vs_long_i_rhyme,1.0,1.1111111111111112,1.8571428571428568,1.8166666666666669
laterals,1.0,0.8571428571428571,1.6470588235294117,7.18625
long_a,1.0,1.1111111111111112,1.8571428571428568,1.8166666666666669
long_i,1.0,0.7708333333333334,1.2941176470588236,12.942857142857145
long_o,0.8333333333333334,0.8461538461538461,1.5,7.659999999999999
long_u,1.0,0.9285714285714286,1.7777777777777777,3.783333333333333
long_vs_short_vowels,1.0,1.0,1.25,3.355
palatal_gy,1.1666666666666665,0.8642857142857143,1.5555555555555554,4.355
palatal_gy_clusters,1.0,0.9285714285714286,1.7777777777777777,3.783333333333333
palatal_ny,1.0,0.7951388888888888,1.4166666666666665,5.614583333333334
palatal_ty,1.0,0.7908653846153846,1.3611111111111112,5.850277777777778
plosives,1.2142857142857144,1.3592131128584644,1.9311461647225168,8.237222222222222
rhythm,0.9523809523809524,0.8331174838112858,1.3804171085189114,10.282962962962964
s_vs_sh,1.0,0.4615384615384615,0.9090909090909092,2.4166666666666665
sibilant_clusters,1.0,0.7708333333333334,1.2941176470588236,12.942857142857145
sibilants,1.0,0.7171744647895963,1.3038537549407114,4.1346875
voiced_coda_g,1.0,1.0,2.1,3.7849999999999993
voicing_assimilation_target,2.0,2.9375,3.583333333333333,2.1
vowel_harmony,0.8,0.6304347826086957,1.0810810810810811,11.242083333333335
vowel_length,0.9860670194003528,0.8072026788758778,1.417167692554963,5.874761904761905
word_initial,0.8,0.9166666666666666,2.2142857142857144,6.241388888888889
z_vs_zh,1.0,0.6875,1.1666666666666667,4.976666666666666
