class,dp_wer,dp_cer,dp_per,avg_search_cost
affricate_cs,3.0625,2.9482118758434552,3.7941176470588234,9.278500000000001
affricate_cs_onset,1.0,0.8461538461538461,1.3,8.0
affricate_dzs,1.0,0.75,0.7142857142857143,7.800000000000001
affricates,2.1666666666666665,0.8333333333333334,1.1764705882352942,14.082
clusters,2.8125,3.4074817726133517,4.444444444444445,5.6515
final_long_e,2.0,1.1904761904761905,0.9130434782608696,5.555999999999999
front_rounded,2.3154761904761902,2.3137230796695714,2.873925667828107,9.652333333333333
front_rounded_long,1.1666666666666665,1.0193473193473193,1.3722222222222222,7.510285714285715
front_rounded_short,1.4444444444444444,1.1666666666666667,1.5,7.035
geminate,1.4,0.75,1.3636363636363635,12.611
geminate_dd,1.0,0.75,0.8181818181818182,5.04
hiatus,2.0,1.1904761904761905,0.9130434782608696,5.555999999999999
i_vs_long_i,1.0,0.75,0.8181818181818182,5.04
i_vs_long_i_rhyme,1.0,1.0,1.7142857142857142,4.609999999999999
laterals,1.2,0.5714285714285714,0.3529411764705882,3.2910000000000004
long_a,1.0,1.0,1.7142857142857142,4.609999999999999
long_i,2.1666666666666665,0.8333333333333334,1.1764705882352942,14.082
long_o,0.8333333333333334,0.6923076923076923,0.8888888888888888,11.102
long_u,1.0,0.9285714285714286,1.2222222222222223,4.912
long_vs_short_vowels,1.0,0.6,0.625,4.181000000000001
palatal_gy,1.0,0.8309523809523809,1.2361111111111112,6.961499999999999
palatal_gy_clusters,1.0,0.9285714285714286,1.2222222222222223,4.912
palatal_ny,1.2,0.7638888888888888,1.6818181818181817,9.7655
palatal_ty,1.2,0.7980769230769231,1.2373737373737375,8.8255
plosives,1.1607142857142856,0.8059464616096207,0.9381141746200071,10.342
rhythm,1.2142857142857142,0.8037619488128276,0.9452633439377873,12.617666666666667
s_vs_sh,1.5,0.6923076923076923,0.8181818181818182,6.237
sibilant_clusters,2.1666666666666665,0.8333333333333334,1.1764705882352942,14.082
sibilants,2.1354166666666665,2.0549370859403755,2.7322546113306982,6.94975
voiced_coda_g,1.0,0.8461538461538461,1.3,8.0
voicing_assimilation_target,1.0,0.8125,0.9166666666666666,3.515
vowel_harmony,1.0,0.6304347826086957,0.7297297297297297,15.773999999999996
vowel_length,1.4565255731922397,1.1944723457817115,1.5734729131593883,8.067814814814815
word_initial,1.0,0.75,0.7142857142857143,7.800000000000001
z_vs_zh,1.0,1.0625,1.8333333333333333,5.337
